rank,name,net_worth (in billion $),age,country / territory,source,industry
1312.00,Zhang Jingzhang & family,2.3,87,China,Precision machinery,Manufacturing
1312.00,Timothy Boyle,2.3,73,United States,Columbia Sportswear,Fashion & Retail
1312.00,Bom Kim,2.3,44,United States,Online retailing,Technology
1312.00,Augusto Perfetti,2.3,N/A,Italy,Candy,Food & Beverage
1312.00,Xicheng Wang & family,2.3,74,China,Tires,Manufacturing
1312.00,Sanjit Biswas,2.3,41,United States,Sensor systems,Technology
1312.00,Bruce Karsh,2.3,67,United States,Private equity,Finance & Investments
1312.00,Lirio Parisotto,2.3,69,Brazil,Investments,Finance & Investments
1312.00,Lang Walker,2.3,77,Australia,Real estate,Real Estate
1312.00,John Bicket,2.3,43,United States,Sensor systems,Technology
1312.00,Long Jiang,2.3,49,China,Manufacturing,Technology
1312.00,David Nahmad,2.3,75,Monaco,Art collection,Fashion & Retail
1312.00,Georg von Opel,2.3,56,Switzerland,"Real estate, investments",Finance & Investments
1312.00,Lee Bass,2.3,66,United States,"Oil, investments",Energy
1312.00,Justin Ishbia,2.3,45,United States,Private equity,Finance & Investments
1312.00,David Murdock,2.3,99,United States,"Dole, real estate",Food & Beverage
1312.00,Jayshree Ullal,2.3,62,United States,Computer networking,Technology
1312.00,John Armitage,2.3,63,Ireland,Hedge funds,Finance & Investments
1312.00,Erman Ilicak,2.3,55,Turkey,Construction,Construction & Engineering
1312.00,Vadim Moshkovich,2.3,55,Russia,"Agriculture, land",Food & Beverage
1312.00,T.Y. Tsai,2.3,70,Taiwan,Finance,Finance & Investments
1312.00,Georg Haub,2.3,61,Germany,Retail,Fashion & Retail
1312.00,Mi Enhua,2.3,65,China,Retail,Fashion & Retail
1312.00,Tian Ming,2.3,69,China,Measuring instruments,Technology
1312.00,John Fisher,2.3,61,United States,Gap,Fashion & Retail
1312.00,Clayton Mathile,2.3,82,United States,Pet food,Food & Beverage
1312.00,Tang Yiu,2.3,89,Hong Kong,Fashion retail,Fashion & Retail
1312.00,Daniel Ek,2.3,40,Sweden,Spotify,Technology
1312.00,Kishore Mariwala,2.3,88,India,Consumer goods,Food & Beverage
1312.00,Stefan Soloviev,2.3,47,United States,Real estate,Real Estate
1312.00,Thomas Duff,2.3,66,United States,"Tires, diversified",Diversified
1312.00,Lim Kok Thay,2.3,71,Malaysia,Casinos,Gambling & Casinos
1312.00,Alberto Siccardi & family,2.3,78,Switzerland,Medical devices,Healthcare
1312.00,Chao Teng-hsiung,2.3,78,Taiwan,Real estate,Real Estate
1312.00,Lam Kong,2.3,58,China,Pharmaceuticals,Healthcare
1312.00,Alberto Prada,2.3,69,Italy,Luxury goods,Fashion & Retail
1312.00,Paul-Heinz Wesjohann & family,2.3,79,Germany,Chicken processing,Food & Beverage
1312.00,Morris Chang,2.3,91,Taiwan,Semiconductors,Technology
1312.00,Jianping Lai,2.3,N/A,China,Soy sauce,Food & Beverage
1312.00,Giorgio Perfetti,2.3,N/A,Italy,Candy,Food & Beverage
1312.00,Wang Zhenhua,2.3,61,China,Real estate,Real Estate
1312.00,Samuel Chen,2.3,73,Taiwan,Investments,Finance & Investments
1312.00,Stephen Lansdown,2.3,70,Guernsey,Financial services,Finance & Investments
1312.00,Marina Prada,2.3,77,Italy,Luxury goods,Fashion & Retail
1312.00,Xie Bingkun & family,2.3,56,China,Pearlescent pigments,Fashion & Retail
1368.00,Fu Guangming & family,2.2,69,China,Poultry,Food & Beverage
1368.00,Harald Link,2.2,68,Thailand,Diversified,Diversified
1368.00,Thi Phuong Thao Nguyen,2.2,52,Vietnam,Airlines,Diversified
1368.00,Huijiao Yu,2.2,57,China,Package delivery,Logistics
1368.00,Noam Gottesman,2.2,61,United States,Hedge funds,Finance & Investments
1368.00,Max Lytvyn,2.2,43,Canada,Software,Technology
1368.00,Ni Yongpei & family,2.2,71,China,Beverages,Food & Beverage
1368.00,Harley Sy,2.2,63,Philippines,Diversified,Diversified
1368.00,Oren Zeev,2.2,58,Israel,Investments,Finance & Investments
1368.00,Jeffrey Gundlach,2.2,64,United States,Investments,Finance & Investments
1368.00,Igor Makarov,2.2,60,Russia,Investments,Energy
1368.00,Heloise Pratt,2.2,60,Australia,"Manufacturing, investment",Manufacturing
1368.00,Teresita Sy-Coson,2.2,72,Philippines,Diversified,Diversified
1368.00,Clayton Zekelman,2.2,54,Canada,Steel,Manufacturing
1368.00,Chen Xueli,2.2,71,China,Pharmaceuticals,Healthcare
1368.00,Lai Shixian,2.2,48,China,Sports apparel,Fashion & Retail
1368.00,Kavitark Ram Shriram,2.2,66,United States,"Venture capital, Google",Technology
1368.00,David Wertheim,2.2,65,Israel,Coca-Cola Israel,Food & Beverage
1368.00,Chen Jinxia,2.2,55,China,Investments,Finance & Investments
1368.00,Willis Johnson,2.2,75,United States,Damaged cars,Automotive
1368.00,Alex Shevchenko,2.2,43,Canada,Software,Technology
1368.00,Wang Zhenghua,2.2,78,China,Budget airline,Service
1368.00,J. Hyatt Brown,2.2,85,United States,Insurance,Finance & Investments
1368.00,James Jannard,2.2,73,United States,Sunglasses,Fashion & Retail
1368.00,Alice Schwartz,2.2,96,United States,Biotech,Healthcare
1368.00,Wang Wenmo,2.2,66,China,Sports apparel,Fashion & Retail
1368.00,Brett Blundy,2.2,63,Australia,"Retail, agribusiness",Fashion & Retail
1368.00,Thomas James,2.2,80,United States,Finance,Finance & Investments
1368.00,"Karl Scheufele, III. & family",2.2,84,Switzerland,Jewelry,Fashion & Retail
1368.00,Radha Vembu,2.2,50,India,Business software,Technology
1368.00,Aneel Bhusri,2.2,57,United States,Business software,Technology
1368.00,Chulong Huang,2.2,64,Canada,Real estate,Real Estate
1368.00,Chad Richison,2.2,52,United States,Payroll processing,Technology
1368.00,Shamsheer Vayalil,2.2,46,India,Healthcare,Healthcare
1368.00,Sezai Bacaksiz,2.2,73,Turkey,Diversified,Diversified
1368.00,Lutz Mario Helmig & family,2.2,76,Germany,Hospitals,Healthcare
1368.00,Jerry Reinsdorf,2.2,87,United States,Sports teams,Sports
1368.00,Lottie Tham & family,2.2,73,Sweden,H&M,Fashion & Retail
1368.00,Albert Avdolyan,2.2,52,Russia,"Oil, mining",Energy
1368.00,Hans-Werner Hector,2.2,83,Germany,SAP,Technology
1368.00,Adam Neumann,2.2,44,Israel,WeWork,Real Estate
1368.00,Prathap Reddy,2.2,91,India,Healthcare,Healthcare
1368.00,Tang Xiao'ou,2.2,55,Hong Kong,Software,Technology
1368.00,Brian Armstrong,2.2,40,United States,Cryptocurrency,Finance & Investments
1368.00,Shmuel Harlap,2.2,78,Israel,Automotive,Automotive
1368.00,Charles Munger,2.2,99,United States,Berkshire Hathaway,Finance & Investments
1368.00,Phillip T. (Terry) Ragon,2.2,73,United States,Health IT,Technology
1368.00,Tang Jinkui & family,2.2,67,China,"Textiles, petrochemicals",Manufacturing
1368.00,George Argyros & family,2.2,86,United States,"Real estate, investments",Real Estate
1368.00,Hao Hong,2.2,67,United States,Pharmaceuticals,Healthcare
1368.00,Howard Marks,2.2,76,United States,Private equity,Finance & Investments
1368.00,Qi Xiangdong,2.2,52,China,Software,Technology
1368.00,Katsumi Tada,2.2,77,Japan,Real estate,Real Estate
1368.00,Zhao Fenggang,2.2,57,China,Batteries,Energy
1368.00,Dong Wei,2.2,52,China,Pharmaceuticals,Healthcare
1368.00,Solomon Lew,2.2,78,Australia,Retail,Fashion & Retail
1368.00,William Stone,2.2,67,United States,Software,Technology
1368.00,Xu Yingzhuo,2.2,55,China,Agribusiness,Food & Beverage
1368.00,Dermot Desmond,2.2,72,Ireland,Finance,Finance & Investments
1368.00,Chris Larsen,2.2,62,United States,Cryptocurrency,Finance & Investments
1368.00,Jeffrey Soffer,2.2,55,United States,Real estate,Real Estate
1368.00,Kai Wu,2.2,55,China,Batteries,Energy
1368.00,Tom Ford,2.2,61,United States,Fashion,Fashion & Retail
1368.00,Liang Xinjun,2.2,55,China,Conglomerate,Diversified
1368.00,Henry Swieca,2.2,65,United States,Hedge funds,Finance & Investments
1368.00,Yeung Kin-man,2.2,59,Hong Kong,Electronics,Manufacturing
1434.00,Domenico Dolce,2.1,64,Italy,Luxury goods,Fashion & Retail
1434.00,Bahaa Hariri,2.1,56,Lebanon,"Real estate, investments",Real Estate
1434.00,Sergey Lomakin,2.1,49,Russia,Retail,Fashion & Retail
1434.00,Raveendran Byju,2.1,41,India,Education technology,Technology
1434.00,Wei Ing-Chou,2.1,69,Taiwan,"Food, beverages",Food & Beverage
1434.00,Ralph Dommermuth,2.1,59,Germany,Internet service provider,Technology
1434.00,Hortensia Herrero,2.1,72,Spain,Supermarkets,Fashion & Retail
1434.00,Daniel Lubetzky,2.1,54,United States,Snack bars,Food & Beverage
1434.00,P.P. Reddy,2.1,65,India,Infrastructure,Construction & Engineering
1434.00,Wei Yin-Chun,2.1,66,Taiwan,"Food, beverages",Food & Beverage
1434.00,Georgi Domuschiev,2.1,50,Bulgaria,"Animal health, investments",Diversified
1434.00,Douglas Hsu,2.1,80,Taiwan,Diversified,Diversified
1434.00,Melissa Ma,2.1,N/A,China,Internet search,Technology
1434.00,Richard Saghian,2.1,41,United States,Fast fashion,Fashion & Retail
1434.00,Wei Yin-Heng,2.1,64,Taiwan,"Food, beverages",Food & Beverage
1434.00,Bruce Cheng,2.1,86,Taiwan,Electronics,Technology
1434.00,Harsh Goenka,2.1,65,India,Diversified,Diversified
1434.00,Christian Latouche & family,2.1,82,France,Accounting services,Finance & Investments
1434.00,Zugen Ni,2.1,66,China,Appliances,Manufacturing
1434.00,Torsten Toeller,2.1,56,Germany,Pet food,Fashion & Retail
1434.00,Cao Ji,2.1,71,China,Manufacturing,Manufacturing
1434.00,Dennis Gillings,2.1,78,United Kingdom,Clinical trials,Healthcare
1434.00,Marc Lasry,2.1,62,United States,Hedge funds,Finance & Investments
1434.00,Alexander Nesis,2.1,60,Russia,"Metals, banking, fertilizers",Finance & Investments
1434.00,Alexander Svetakov,2.1,55,Russia,Real estate,Finance & Investments
1434.00,Zhao Tao,2.1,57,Singapore,Pharmaceuticals,Healthcare
1434.00,Anand Burman,2.1,70,India,Consumer goods,Food & Beverage
1434.00,Kamal Ghaffarian,2.1,64,United States,"Space, energy",Energy
1434.00,Lam Wai-ying,2.1,N/A,Hong Kong,Smartphone screens,Manufacturing
1434.00,Eugene Murtagh,2.1,80,Ireland,Building materials,Manufacturing
1434.00,Sun Mengquan & family,2.1,73,China,Edible oil,Food & Beverage
1434.00,Zhang Ning & family,2.1,49,Canada,Chemicals,Manufacturing
1434.00,William Boyd & family,2.1,91,United States,"Casinos, banking",Gambling & Casinos
1434.00,Gordon Getty,2.1,89,United States,Getty Oil,Energy
1434.00,Thomas Kwok,2.1,71,Hong Kong,Real estate,Real Estate
1434.00,Mu Rongjun,2.1,43,China,E-commerce,Technology
1434.00,Edward Stack,2.1,68,United States,Dick's Sporting Goods,Fashion & Retail
1434.00,Yuan Fugen & family,2.1,72,China,Metal processing,Manufacturing
1434.00,Olivier Bouygues,2.1,72,France,"Construction, media",Construction & Engineering
1434.00,Xingjiang Gao,2.1,59,China,Steel,Manufacturing
1434.00,Andrei Krivenko,2.1,47,Russia,Retail,Food & Beverage
1434.00,Nirmal Minda,2.1,65,India,Auto parts,Automotive
1434.00,Venu Srinivasan,2.1,70,India,Two-wheelers,Automotive
1434.00,Yu Qibing & family,2.1,57,China,Glass,Manufacturing
1434.00,Martin Bouygues,2.1,N/A,France,"Construction, media",Construction & Engineering
1434.00,Stefano Gabbana,2.1,60,Italy,Luxury goods,Fashion & Retail
1434.00,Artem Khachatryan,2.1,48,Russia,Retail,Fashion & Retail
1434.00,Kiran Mazumdar-Shaw,2.1,70,India,Biopharmaceuticals,Healthcare
1434.00,Timothy Springer,2.1,75,United States,Biotech,Healthcare
1434.00,Michael Ying,2.1,73,Hong Kong,Retail,Fashion & Retail
1434.00,Travis Boersma,2.1,52,United States,Coffee,Food & Beverage
1434.00,Paul Foster,2.1,65,United States,Oil refining,Energy
1434.00,Eugene Kaspersky,2.1,57,Russia,Software,Technology
1434.00,Katarina Martinson,2.1,41,Sweden,Investments,Diversified
1434.00,Shu Ping,2.1,53,Singapore,Restaurants,Food & Beverage
1434.00,Xu Xudong & family,2.1,53,China,Auto parts,Automotive
1434.00,Alex Beard,2.1,55,United Kingdom,"Mining, commodities",Metals & Mining
1434.00,Bob Ell,2.1,78,Australia,Real estate,Real Estate
1434.00,Jared Isaacman,2.1,40,United States,Payment processing,Technology
1434.00,Rafique Malik,2.1,72,India,Footwear,Fashion & Retail
1434.00,Thaksin Shinawatra,2.1,73,Thailand,Investments,Finance & Investments
1434.00,Elaine Wynn,2.1,80,United States,"Casinos, hotels",Gambling & Casinos
1434.00,Kiril Domuschiev,2.1,53,Bulgaria,"Animal health, investments",Diversified
1434.00,Huang Min,2.1,49,China,Machinery,Manufacturing
1434.00,Anand Mahindra,2.1,67,India,Diversified,Diversified
1434.00,Shi Yifeng,2.1,49,China,Medical cosmetics,Healthcare
1434.00,Wei Ying-Chiao,2.1,68,Taiwan,"Food, beverages",Food & Beverage
1434.00,Daniel Chiu,2.1,62,Hong Kong,Oil & gas,Energy
1434.00,Jane Goldman,2.1,67,United States,Real estate,Real Estate
1434.00,Lin Chang Su-O,2.1,82,Taiwan,Real estate,Real Estate
1434.00,Victor Pinchuk,2.1,62,Ukraine,"Steel pipes, diversified",Metals & Mining
1434.00,Hamdi Ulukaya,2.1,50,Turkey,Greek yogurt,Food & Beverage
1434.00,Chi Yufeng,2.1,52,China,Software,Technology
1434.00,Sanjiv Goenka,2.1,62,India,Diversified,Diversified
1434.00,Theodore Leonsis,2.1,67,United States,Sports teams,Sports
1434.00,Florentino Perez,2.1,76,Spain,Construction,Construction & Engineering
1434.00,Barbara Tyson,2.1,74,United States,Food processing,Food & Beverage
1434.00,Beda Diethelm,2.1,82,Switzerland,Hearing aids,Healthcare
1434.00,Stein Erik Hagen,2.1,66,Norway,Consumer goods,Fashion & Retail
1434.00,Liu Chengyu & family,2.1,60,China,Power supply equipment,Manufacturing
1434.00,Leonid Radvinsky,2.1,40,United States,E-commerce,Technology
1434.00,Wang Linpeng,2.1,54,China,Furniture retailing,Construction & Engineering
1516.00,Pavel Baudis,2,62,Czech Republic,Software,Technology
1516.00,Michael Jordan,2,60,United States,"Charlotte Hornets, endorsements",Sports
1516.00,Oei Hong Leong,2,75,Singapore,Investments,Finance & Investments
1516.00,Ion Tiriac,2,83,Romania,"Banking, insurance",Finance & Investments
1516.00,Wilhelm Beier & family,2,66,Germany,Pharmaceuticals,Healthcare
1516.00,Diane Kemper,2,77,United States,Real estate,Real Estate
1516.00,Clive Palmer,2,69,Australia,Mining,Metals & Mining
1516.00,Hope Welker,2,37,Australia,Mining,Metals & Mining
1516.00,Cao Jianwei,2,44,China,Semiconductors,Manufacturing
1516.00,Shlomo Kramer,2,57,Israel,"Software, investments",Technology
1516.00,Matthew Prince,2,48,United States,Cybersecurity,Technology
1516.00,William Young,2,82,United States,Plastics,Manufacturing
1516.00,Anu Aga,2,80,India,Engineering,Construction & Engineering
1516.00,Hu Yangzhong,2,58,China,Technology,Technology
1516.00,Alexander Mamut,2,63,Russia,Investments,Finance & Investments
1516.00,Sylvia Stroeher,2,67,Germany,Cosmetics,Fashion & Retail
1516.00,John Hancock,2,47,Australia,Mining,Metals & Mining
1516.00,Bill Malhotra,2,73,Canada,Real estate,Real Estate
1516.00,Michal Strnad,2,30,Czech Republic,Defense Contracting,Manufacturing
1516.00,Amy Goldman Fowler,2,68,United States,Real estate,Real Estate
1516.00,Aloke Lohia,2,64,India,Petrochemicals,Manufacturing
1516.00,Zygmunt Solorz-Zak,2,66,Poland,TV broadcasting,Media & Entertainment
1516.00,Zhu Yiwen & family,2,59,China,Healthcare,Healthcare
1516.00,Mario Germano Giuliani,2,51,Switzerland,Pharmaceuticals,Healthcare
1516.00,Lin Fanlian,2,61,China,"Energy, real estate",Energy
1516.00,Bhadresh Shah,2,71,India,Engineering,Manufacturing
1516.00,Zhou Jian,2,46,China,Solar energy equipment,Energy
1516.00,William Franke,2,85,United States,Low-cost airlines,Diversified
1516.00,Liang Zhaoxian,2,58,China,Appliances,Manufacturing
1516.00,T. Denny Sanford,2,87,United States,"Banking, credit cards",Finance & Investments
1516.00,Hongfei Zhao,2,48,China,Software,Technology
1516.00,Maria Franca Fissolo,2,88,Italy,"Nutella, chocolates",Food & Beverage
1516.00,Liang Rubo,2,40,China,TikTok,Technology
1516.00,Ginia Rinehart,2,36,Australia,Mining,Metals & Mining
1516.00,Zhang Wanzhen,2,73,China,Electronics components,Manufacturing
1516.00,Dou Zhenggang,2,69,China,"Energy, chemicals",Diversified
1516.00,Li Min,2,57,China,Semiconductor,Technology
1516.00,Bianca Rinehart,2,46,Australia,Mining,Metals & Mining
1516.00,Shilong Zhang & family,2,57,China,Semiconductor,Technology
1516.00,Phongthep Chiaravanont,2,71,Thailand,Diversified,Diversified
1516.00,Martin Lau,2,50,Hong Kong,E-commerce,Technology
1516.00,P.V. Krishna Reddy,2,53,India,Infrastructure,Construction & Engineering
1516.00,Zhang Fan,2,57,China,Touch screens,Technology
1516.00,Huwen Chen,2,52,China,Stationery,Manufacturing
1516.00,Heikki Kyostila,2,77,Finland,Dental products,Healthcare
1516.00,Linda Pritzker,2,69,United States,"Hotels, investments",Service
1516.00,Ales Zavoral,2,46,Czech Republic,E-commerce,Fashion & Retail
1516.00,Andrey Andreev,2,49,United Kingdom,Online dating,Technology
1516.00,Huang Qiaoling,2,64,China,Amusement parks,Media & Entertainment
1516.00,Cunhui Nan,2,59,China,Power equipment,Manufacturing
1516.00,Larry Tanenbaum,2,77,Canada,Sports,Sports
1516.00,Mohamed Al Fayed,2,94,Egypt,"Retail, investments",Fashion & Retail
1516.00,Huang Dawen,2,62,Hong Kong,Silicon,Manufacturing
1516.00,Craig McCaw,2,73,United States,Telecom,Telecom
1516.00,Otto Toto Sugiri,2,69,Indonesia,Data centers,Technology
1516.00,Michael Ashcroft,2,77,United Kingdom,Security,Finance & Investments
1516.00,Rajiv Jain,2,55,United States,Finance,Finance & Investments
1516.00,Tengyun Nie & family,2,47,China,Logistics,Service
1516.00,Wichai Thongtang,2,76,Thailand,Investments,Finance & Investments
1575.00,Nicola Bulgari,1.9,82,Italy,Luxury goods,Fashion & Retail
1575.00,Bulent Eczacibasi,1.9,73,Turkey,"Pharmaceuticals, diversified",Diversified
1575.00,Caroline Hagen Kjos,1.9,39,Norway,Conglomerate,Diversified
1575.00,Shi Wen-long,1.9,95,Taiwan,Plastics,Manufacturing
1575.00,Zhang Hongwei,1.9,68,China,"Oil, banking",Diversified
1575.00,"Howard Butt, III. & family",1.9,71,United States,Supermarkets,Fashion & Retail
1575.00,Faruk Eczacibasi,1.9,68,Turkey,"Pharmaceuticals, diversified",Diversified
1575.00,Roberto Hernandez Ramirez,1.9,81,Mexico,"Banking, investments",Finance & Investments
1575.00,Strive Masiyiwa,1.9,62,Zimbabwe,Telecom,Telecom
1575.00,Peter Sondakh,1.9,73,Indonesia,Investments,Finance & Investments
1575.00,Anita Zucker,1.9,71,United States,Chemicals,Manufacturing
1575.00,Stephen Butt & family,1.9,67,United States,Supermarkets,Fashion & Retail
1575.00,Eduardo Eurnekian,1.9,90,Argentina,"Airports, investments",Diversified
1575.00,Reid Hoffman,1.9,55,United States,LinkedIn,Technology
1575.00,Robert Miller,1.9,89,United Kingdom,Retail,Fashion & Retail
1575.00,Lucy Stitzer,1.9,63,United States,Cargill,Food & Beverage
1575.00,Mika Anttonen,1.9,56,Finland,Oil & gas,Energy
1575.00,Mark Davis,1.9,67,United States,Las Vegas Raiders,Sports
1575.00,James Leprino,1.9,85,United States,Cheese,Food & Beverage
1575.00,Dwight Schar,1.9,81,United States,"Homebuilding, NFL team",Construction & Engineering
1575.00,Charlotte Colket Weber,1.9,80,United States,Campbell Soup,Food & Beverage
1575.00,Roberto Angelini Rossi,1.9,74,Chile,"Forestry, mining",Diversified
1575.00,Sol Daurella,1.9,57,Spain,Coca-Cola bottler,Food & Beverage
1575.00,Somsri Lamsam,1.9,N/A,Thailand,Diversified,Diversified
1575.00,Larry Robbins,1.9,53,United States,Hedge funds,Finance & Investments
1575.00,Wang Ren-sheng,1.9,91,Taiwan,Retail,Fashion & Retail
1575.00,Alexandra Daitch,1.9,60,United States,Cargill,Food & Beverage
1575.00,Edward Lampert,1.9,60,United States,Sears,Finance & Investments
1575.00,Ren Jianhua,1.9,66,China,Kitchen appliances,Manufacturing
1575.00,Wang Chaobin,1.9,67,China,Real estate,Real Estate
1575.00,Prathip Chiravanond,1.9,74,Thailand,Diversified,Diversified
1575.00,Dominika Kulczyk,1.9,45,Poland,Diversified,Finance & Investments
1575.00,G. Rajendran,1.9,80,India,Jewellery,Fashion & Retail
1575.00,Jitendra Virwani,1.9,57,India,Real estate,Real Estate
1575.00,Manas Chiaravanond,1.9,N/A,Thailand,Diversified,Diversified
1575.00,Richard Kayne,1.9,77,United States,Investments,Finance & Investments
1575.00,Jennifer Pritzker,1.9,72,United States,"Hotels, investments",Finance & Investments
1575.00,Vardis Vardinoyannis & family,1.9,90,Greece,Oil and gas,Energy
1575.00,Chen Zhisong,1.9,57,China,Communication equipment,Technology
1575.00,Scott Kapnick,1.9,64,United States,Private equity,Finance & Investments
1575.00,Narendrakumar Parekh,1.9,84,India,Adhesives,Manufacturing
1575.00,Masateru Uno & family,1.9,76,Japan,Drugstores,Fashion & Retail
1575.00,Chen Qiongxiang,1.9,N/A,China,Batteries,Energy
1575.00,Surjit Kumar Gupta,1.9,81,India,Electrical equipment,Manufacturing
1575.00,Hui Wing Mau,1.9,72,Hong Kong,Real estate,Real Estate
1575.00,Ajay Parekh,1.9,65,India,Adhesives,Manufacturing
1575.00,Mehmet Sinan Tara,1.9,64,Turkey,Construction,Construction & Engineering
1575.00,Huxiong Chen,1.9,52,China,Stationery,Manufacturing
1575.00,Guo Zhenyu & family,1.9,59,Canada,Cosmetics,Fashion & Retail
1575.00,"B. Wayne Hughes, Jr.",1.9,63,United States,Storage facilities,Real Estate
1575.00,Kentaro Ogawa,1.9,74,Japan,Restaurants,Food & Beverage
1575.00,Hermanto Tanoko,1.9,60,Indonesia,Paints,Manufacturing
1575.00,Jianxing Che,1.9,56,China,Furniture retailing,Fashion & Retail
1575.00,David Fong,1.9,65,Hong Kong,Real estate,Real Estate
1575.00,Hu Rongda & family,1.9,64,China,Chemicals,Manufacturing
1575.00,Simon Nixon,1.9,55,United Kingdom,Price comparison website,Technology
1575.00,Elizabeth Sy,1.9,70,Philippines,Diversified,Diversified
1575.00,Julio Bozano,1.9,87,Brazil,Banking,Finance & Investments
1575.00,Dong Fan,1.9,53,China,Medical devices,Healthcare
1575.00,Lin Dingqiang & family,1.9,56,Hong Kong,Real estate,Real Estate
1575.00,Qinxiang Shao,1.9,68,China,Diversified,Manufacturing
1575.00,Chuanhua Xu & family,1.9,88,China,"Chemicals, logistics",Manufacturing
1575.00,David Blitzer,1.9,53,United States,Sports,Sports
1575.00,James Dinan,1.9,63,United States,Hedge funds,Finance & Investments
1575.00,David Lichtenstein,1.9,61,United States,Real estate,Real Estate
1575.00,Shao Jianxiong,1.9,N/A,China,Photovoltaics,Energy
1575.00,Xie Juhua & family,1.9,72,China,Pharmaceuticals,Healthcare
1575.00,Nikolai Buinov,1.9,55,Russia,"Oil, gas",Energy
1575.00,Fritz Draexlmaier,1.9,N/A,Germany,Auto parts,Automotive
1575.00,Sarah MacMillan,1.9,69,United States,Cargill,Food & Beverage
1575.00,Hua Shen,1.9,60,United States,Semiconductors,Technology
1575.00,Gavril Yushvaev & family,1.9,65,Russia,"Precious metals, real estate",Finance & Investments
1647.00,Mark Coombs,1.8,62,United Kingdom,Finance,Finance & Investments
1647.00,Valentin Kipyatkov,1.8,46,Cyprus,Software,Technology
1647.00,Ezra Nahmad,1.8,77,Monaco,Art,Finance & Investments
1647.00,Suh Kyung-bae,1.8,60,South Korea,Cosmetics,Fashion & Retail
1647.00,Amy Wyss,1.8,52,United States,Medical equipment,Healthcare
1647.00,John de Mol,1.8,68,Netherlands,TV programs,Media & Entertainment
1647.00,Koo Kwang-mo,1.8,45,South Korea,LG,Diversified
1647.00,Satyanarayan Nuwal,1.8,70,India,Industrial explosives,Manufacturing
1647.00,Bambang Sutantio,1.8,64,Indonesia,Dairy & consumer products,Food & Beverage
1647.00,Yan Zhi,1.8,50,China,Real estate,Real Estate
1647.00,Cameron Adams,1.8,43,Australia,Software,Technology
1647.00,D. Leopoldo Del Pino,1.8,60,Spain,Construction,Construction & Engineering
1647.00,George Kurtz,1.8,52,United States,Security software,Technology
1647.00,Maike Oberwelland-Height,1.8,N/A,Germany,Candy,Food & Beverage
1647.00,Sze Man Bok,1.8,73,China,Hygiene products,Manufacturing
1647.00,Yoshiaki Yoshida,1.8,82,Japan,cosmetics,Fashion & Retail
1647.00,R.G. Chandramogan,1.8,74,India,Dairy,Food & Beverage
1647.00,Wei Huang,1.8,63,China,Real estate,Real Estate
1647.00,Robert G. Miller,1.8,77,Canada,Electronics components,Technology
1647.00,Anatoly Sedykh,1.8,58,Russia,Steel pipes,Metals & Mining
1647.00,Evan Williams,1.8,51,United States,Twitter,Technology
1647.00,Alejandro Bulgheroni,1.8,78,Argentina,Oil & gas,Energy
1647.00,Brian Higgins,1.8,58,United States,Hedge funds,Finance & Investments
1647.00,Gary Michelson,1.8,74,United States,Medical patents,Healthcare
1647.00,Karin Schick,1.8,N/A,Germany,Information technology,Technology
1647.00,Todd Wagner,1.8,62,United States,Online media,Media & Entertainment
1647.00,O. Francis Biondi,1.8,58,United States,Hedge funds,Finance & Investments
1647.00,Yusuf Hamied,1.8,86,India,Pharmaceuticals,Healthcare
1647.00,Roberto Irineu Marinho,1.8,75,Brazil,Media,Media & Entertainment
1647.00,Vinod Saraf,1.8,70,India,Chemicals,Manufacturing
1647.00,Nikil Viswanathan,1.8,35,United States,Blockchain technology,Technology
1647.00,Sanjeev Bikhchandani,1.8,59,India,Internet,Technology
1647.00,Christopher Goldsbury,1.8,80,United States,Salsa,Food & Beverage
1647.00,Jose Roberto Marinho,1.8,67,Brazil,Media,Media & Entertainment
1647.00,Krit Ratanarak,1.8,76,Thailand,"Media, real estate",Media & Entertainment
1647.00,Martin Viessmann,1.8,69,Germany,Heating and cooling equipment,Manufacturing
1647.00,Sabrina Benetton,1.8,49,Italy,"Fashion retail, investments",Fashion & Retail
1647.00,Jayme Garfinkel & family,1.8,77,Brazil,Insurance,Finance & Investments
1647.00,Joao Roberto Marinho,1.8,69,Brazil,Media,Media & Entertainment
1647.00,Olivier Pomel,1.8,46,France,Cloud computing,Technology
1647.00,Pieter van der Does,1.8,53,Netherlands,Payments software,Technology
1647.00,Masaaki Arai,1.8,57,Japan,Home sales,Real Estate
1647.00,Phillip Frost,1.8,86,United States,Pharmaceuticals,Healthcare
1647.00,Luo Yangyong & family,1.8,47,China,Mining,Metals & Mining
1647.00,Ronald Perelman,1.8,80,United States,Leveraged buyouts,Finance & Investments
1647.00,Riaz Valani,1.8,46,United States,E-cigarettes,Finance & Investments
1647.00,Leslie Alexander,1.8,79,United States,Sports team,Sports
1647.00,James France,1.8,78,United States,"Nascar, racing",Sports
1647.00,Louise Lindh,1.8,43,Sweden,Investments,Diversified
1647.00,Pierre Karl Péladeau,1.8,61,Canada,Media,Media & Entertainment
1647.00,Alan Trefler,1.8,67,United States,Software,Technology
1647.00,Faisal Bin Qassim Al Thani,1.8,75,Qatar,"Hotels, diversified",Diversified
1647.00,Robert Duggan,1.8,78,United States,Pharmaceuticals,Healthcare
1647.00,Joe Lau,1.8,33,United States,"Blockchain, technology",Technology
